Duration,AOI,Question
1.0,odgovori,T2_B_Q2
2.8,kod,T2_B_Q2
.7,pitanje,T2_B_Q2
.5,kod,T2_B_Q2
.6,pitanje,T2_B_Q2
12.7,kod,T2_B_Q2
1.2,odgovori,T2_B_Q2
15.2,kod,T2_B_Q2
1.7,odgovori,T2_B_Q2
4.5,kod,T2_B_Q2
2.4,odgovori,T2_B_Q2
3.9,kod,T2_B_Q2
1.9,odgovori,T2_B_Q2
.9,kod,T2_B_Q2
1.6,odgovori,T2_B_Q2
9.3,kod,T2_B_Q2
.8,odgovori,T2_B_Q2
4.4,kod,T2_B_Q2
1.3,odgovori,T2_B_Q2
6.9,kod,T2_B_Q2
2.3,odgovori,T2_B_Q2
8.0,kod,T2_B_Q2
4.5,odgovori,T2_B_Q2
8.6,kod,T2_B_Q2
.7,odgovori,T2_B_Q2
.5,kod,T2_B_Q2
1.1,odgovori,T2_B_Q2
4.1,kod,T2_B_Q2
.2,prethodno,T2_B_Q2
1.5,sledece,T2_B_Q2
