Duration,AOI,Question
.7,kod,T2_K_Q23
.6,pitanje,T2_K_Q23
.3,kod,T2_K_Q23
1.2,pitanje,T2_K_Q23
.3,pitanje-kod,T2_K_Q23
21.3,kod,T2_K_Q23
.4,prazno,T2_K_Q23
3.2,odgovori,T2_K_Q23
3.3,kod,T2_K_Q23
.8,odgovori,T2_K_Q23
1.6,kod,T2_K_Q23
.6,odgovori,T2_K_Q23
.3,prazno,T2_K_Q23
.4,odgovori,T2_K_Q23
3.9,kod,T2_K_Q23
.3,prazno,T2_K_Q23
2.9,odgovori,T2_K_Q23
.7,kod,T2_K_Q23
.5,odgovori,T2_K_Q23
.3,prazno,T2_K_Q23
1.6,odgovori,T2_K_Q23
2.0,kod,T2_K_Q23
1.8,odgovori,T2_K_Q23
.8,kod,T2_K_Q23
.2,sledece,T2_K_Q23
