Duration,AOI,Question
.7,kod,T2_K_Q4
.3,pitanje,T2_K_Q4
1.6,kod,T2_K_Q4
1.3,pitanje,T2_K_Q4
2.8,kod,T2_K_Q4
.2,pitanje-kod,T2_K_Q4
2.7,kod,T2_K_Q4
.2,pitanje,T2_K_Q4
.4,prazno,T2_K_Q4
1.2,pitanje,T2_K_Q4
1.4,kod,T2_K_Q4
.4,pitanje,T2_K_Q4
4.2,kod,T2_K_Q4
.6,pitanje,T2_K_Q4
24.5,kod,T2_K_Q4
.4,pitanje,T2_K_Q4
2.7,kod,T2_K_Q4
1.1,odgovori,T2_K_Q4
76.8,kod,T2_K_Q4
.3,pitanje,T2_K_Q4
16.9,kod,T2_K_Q4
1.1,prazno,T2_K_Q4
3.1,kod,T2_K_Q4
1.2,odgovori,T2_K_Q4
.3,kod,T2_K_Q4
1.6,odgovori,T2_K_Q4
.4,prazno,T2_K_Q4
.6,odgovori,T2_K_Q4
3.3,kod,T2_K_Q4
1.9,sledece,T2_K_Q4
