Duration,AOI,Question
.8,kod,T2_K_Q6
2.4,pitanje,T2_K_Q6
2.0,kod,T2_K_Q6
1.9,pitanje,T2_K_Q6
.4,kod,T2_K_Q6
1.2,pitanje,T2_K_Q6
4.9,kod,T2_K_Q6
.4,odgovori,T2_K_Q6
1.0,kod,T2_K_Q6
.3,odgovori,T2_K_Q6
.3,kod,T2_K_Q6
.5,odgovori,T2_K_Q6
1.1,kod,T2_K_Q6
1.8,odgovori,T2_K_Q6
.8,kod,T2_K_Q6
6.2,odgovori,T2_K_Q6
1.5,kod,T2_K_Q6
2.2,odgovori,T2_K_Q6
3.4,kod,T2_K_Q6
4.6,odgovori,T2_K_Q6
2.8,kod,T2_K_Q6
.3,odgovori,T2_K_Q6
.6,kod,T2_K_Q6
.2,odgovori,T2_K_Q6
3.6,kod,T2_K_Q6
3.9,odgovori,T2_K_Q6
.3,prazno,T2_K_Q6
6.1,odgovori,T2_K_Q6
.3,kod,T2_K_Q6
1.9,odgovori,T2_K_Q6
2.7,kod,T2_K_Q6
.7,odgovori,T2_K_Q6
.3,kod,T2_K_Q6
.5,prazno,T2_K_Q6
.7,odgovori,T2_K_Q6
2.7,kod,T2_K_Q6
.9,odgovori,T2_K_Q6
3.5,kod,T2_K_Q6
.4,odgovori,T2_K_Q6
3.8,kod,T2_K_Q6
.6,odgovori,T2_K_Q6
1.5,kod,T2_K_Q6
.5,pitanje,T2_K_Q6
3.1,kod,T2_K_Q6
2.8,odgovori,T2_K_Q6
.8,prethodno,T2_K_Q6
.7,sledece,T2_K_Q6
