Duration,AOI,Question
.9,kod,T2_K_Q2
.5,odgovori,T2_K_Q2
2.7,kod,T2_K_Q2
1.0,pitanje,T2_K_Q2
.4,pitanje-kod,T2_K_Q2
.3,pitanje,T2_K_Q2
.6,prazno,T2_K_Q2
.9,kod,T2_K_Q2
1.8,pitanje,T2_K_Q2
1.1,kod,T2_K_Q2
1.4,pitanje,T2_K_Q2
.7,kod,T2_K_Q2
.5,pitanje,T2_K_Q2
1.0,kod,T2_K_Q2
.2,pitanje-kod,T2_K_Q2
1.4,kod,T2_K_Q2
.3,pitanje,T2_K_Q2
.5,kod,T2_K_Q2
.6,pitanje,T2_K_Q2
5.0,kod,T2_K_Q2
.2,pitanje,T2_K_Q2
.2,pitanje-kod,T2_K_Q2
.7,pitanje,T2_K_Q2
21.0,kod,T2_K_Q2
.7,odgovori,T2_K_Q2
.6,kod,T2_K_Q2
.3,sledece,T2_K_Q2
