Duration,AOI,Question
2.7,pitanje,T2_K_Q3
.9,kod,T2_K_Q3
1.1,odgovori,T2_K_Q3
5.8,kod,T2_K_Q3
.4,odgovori,T2_K_Q3
.6,kod,T2_K_Q3
.2,odgovori,T2_K_Q3
25.4,kod,T2_K_Q3
.2,odgovori,T2_K_Q3
5.8,kod,T2_K_Q3
.4,odgovori,T2_K_Q3
.5,kod,T2_K_Q3
4.5,odgovori,T2_K_Q3
11.7,kod,T2_K_Q3
.5,prazno,T2_K_Q3
21.4,kod,T2_K_Q3
.3,odgovori,T2_K_Q3
11.7,kod,T2_K_Q3
2.1,odgovori,T2_K_Q3
17.9,kod,T2_K_Q3
1.8,odgovori,T2_K_Q3
11.8,kod,T2_K_Q3
.2,odgovori,T2_K_Q3
.2,kod,T2_K_Q3
1.9,odgovori,T2_K_Q3
1.2,kod,T2_K_Q3
.7,odgovori,T2_K_Q3
5.6,kod,T2_K_Q3
.8,odgovori,T2_K_Q3
1.2,kod,T2_K_Q3
2.4,odgovori,T2_K_Q3
4.7,kod,T2_K_Q3
1.5,odgovori,T2_K_Q3
1.7,kod,T2_K_Q3
.9,odgovori,T2_K_Q3
.3,kod,T2_K_Q3
.7,odgovori,T2_K_Q3
.6,prethodno,T2_K_Q3
.5,sledece,T2_K_Q3
