"Cluster","Question","Total sec","No. of Regions","Total sec on 'kod'","Total sec on 'odgovori'","Total sec on 'pitanje'","Total sec on 'pitanje-kod'","Total sec on 'prazno'","Total sec on 'prethodno'","Total sec on 'sledece'","No. Regions of 'kod'","No. Regions of 'odgovori'","No. Regions of 'pitanje'","No. Regions of 'pitanje-kod'","No. Regions of 'prazno'","No. Regions of 'prethodno'","No. Regions of 'sledece'","Mean sec on 'kod'","Mean sec on 'odgovori'","Mean sec on 'pitanje'","Mean sec on 'pitanje-kod'","Mean sec on 'prazno'","Mean sec on 'prethodno'","Mean sec on 'sledece'","Top region before 'kod'","Top region before 'odgovori'","Top region before 'pitanje'","Top region before 'pitanje-kod'","Top region before 'prazno'","Top region before 'prethodno'","Top region before 'sledece'","Top region after 'kod'","Top region after 'odgovori'","Top region after 'pitanje'","Top region after 'pitanje-kod'","Top region after 'prazno'","Top region after 'prethodno'","Top region after 'sledece'"
"3","T2_B_Q27",35.8,10,31.9,1.4000000000000001,0.9,0.0,0.7,0.4,0.5,3,3,1,0,1,1,1,10.633333333333333,0.4666666666666667,0.9,0.0,0.7,0.4,0.5,1,0,0,-1,1,1,5,1,0,0,-1,1,6,-1
"3","T2_B_Q28",53.599999999999994,8,48.1,4.7,0.0,0.0,0.0,0.0,0.8,4,3,0,0,0,0,1,12.025,1.5666666666666667,0.0,0.0,0.0,0.0,0.8,1,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,0
"3","T2_B_Q30",39.300000000000004,4,34.9,3.2,0.0,0.0,0.0,0.0,1.2,2,1,0,0,0,0,1,17.45,3.2,0.0,0.0,0.0,0.0,1.2,1,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1
"3","T2_K_Q4",154.2,30,141.00000000000003,4.5,4.7,0.2,1.9,0.0,1.9,13,4,8,1,3,0,1,10.846153846153847,1.125,0.5875,0.2,0.6333333333333334,0.0,1.9,2,0,0,0,0,-1,0,2,0,0,0,0,-1,-1
"3","T2_K_Q13",39.0,7,35.9,0.2,1.0,0.0,0.0,0.0,1.9,3,1,2,0,0,0,1,11.966666666666667,0.2,0.5,0.0,0.0,0.0,1.9,2,0,0,-1,-1,-1,1,2,6,0,-1,-1,-1,-1
"3","T2_K_Q19",41.2,7,33.4,3.1,3.2,0.0,0.0,0.3,1.2,2,1,2,0,0,1,1,16.7,3.1,1.6,0.0,0.0,0.3,1.2,2,0,0,-1,-1,-1,1,1,6,0,-1,-1,2,-1
"3","T2_K_Q24",62.800000000000004,12,56.099999999999994,1.1,2.3,0.4,0.0,0.4,2.5,5,1,3,1,0,1,1,11.22,1.1,0.7666666666666666,0.4,0.0,0.4,2.5,2,0,0,0,-1,-1,1,2,6,0,0,-1,0,-1
"3","T2_K_Q25",48.8,12,42.900000000000006,4.9,0.4,0.0,0.0,0.0,0.6,5,5,1,0,0,0,1,8.58,0.98,0.4,0.0,0.0,0.0,0.6,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"3","T2_K_Q26",79.89999999999999,12,75.10000000000001,2.9000000000000004,1.3,0.0,0.0,0.0,0.6,5,3,3,0,0,0,1,15.02,0.9666666666666667,0.43333333333333335,0.0,0.0,0.0,0.6,2,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"3","T2_K_Q28",44.800000000000004,9,39.4,2.9,1.3,0.0,0.3,0.0,0.9,4,2,1,0,1,0,1,9.85,1.45,1.3,0.0,0.3,0.0,0.9,1,0,0,-1,0,-1,1,1,0,0,-1,0,-1,-1
"3","T2_S_Q3",157.6,13,152.49999999999997,2.9,1.1,0.0,0.0,0.0,1.1,6,4,2,0,0,0,1,25.416666666666664,0.725,0.55,0.0,0.0,0.0,1.1,1,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,-1
"3","T2_S_Q15",37.2,6,32.3,2.1,1.0,0.7,0.0,0.0,1.1,2,1,1,1,0,0,1,16.15,2.1,1.0,0.7,0.0,0.0,1.1,2,0,3,0,-1,-1,1,1,6,0,2,-1,-1,-1
"3","T2_S_Q19",80.9,11,73.4,5.1,1.8,0.0,0.0,0.0,0.6,5,4,1,0,0,0,1,14.68,1.275,1.8,0.0,0.0,0.0,0.6,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"3","T2_S_Q27",43.4,6,36.8,1.6,4.0,0.0,0.0,0.3,0.7,2,1,1,0,0,1,1,18.4,1.6,4.0,0.0,0.0,0.3,0.7,2,0,0,-1,-1,1,5,1,5,0,-1,-1,6,-1
"3","T2_S_Q30",42.89999999999999,9,36.9,3.1999999999999997,2.0,0.0,0.0,0.0,0.8,4,3,1,0,0,0,1,9.225,1.0666666666666667,2.0,0.0,0.0,0.0,0.8,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"4","T1_F_Q5",17.1,7,7.5,8.6,0.0,0.0,0.0,0.0,1.0,3,3,0,0,0,0,1,2.5,2.8666666666666667,0.0,0.0,0.0,0.0,1.0,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1
"4","T2_K_Q7",55.4,14,18.8,28.3,7.4,0.0,0.0,0.0,0.9,6,6,1,0,0,0,1,3.1333333333333333,4.716666666666667,7.4,0.0,0.0,0.0,0.9,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"4","T2_S_Q6",58.0,25,22.400000000000002,26.4,8.3,0.0,0.7,0.0,0.2,12,8,3,0,1,0,1,1.8666666666666667,3.3,2.7666666666666666,0.0,0.7,0.0,0.2,1,0,0,-1,0,-1,1,1,0,0,-1,0,-1,-1
"4","T2_S_Q7",79.60000000000001,22,32.2,37.2,7.5,0.0,0.0,0.0,2.7,10,7,3,0,0,0,2,3.22,5.314285714285714,2.5,0.0,0.0,0.0,1.35,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,0
"4","T2_S_Q8",37.199999999999996,9,17.700000000000003,15.499999999999998,1.7,0.0,0.0,0.0,2.3,4,3,1,0,0,0,1,4.425,5.166666666666666,1.7,0.0,0.0,0.0,2.3,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"4","T2_S_Q17",50.0,22,20.7,26.4,0.4,0.0,0.0,0.0,2.5,11,9,1,0,0,0,1,1.8818181818181818,2.933333333333333,0.4,0.0,0.0,0.0,2.5,1,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,-1
"4","T2_S_Q18",65.6,9,30.7,31.500000000000004,1.8,0.0,0.0,0.0,1.6,4,3,1,0,0,0,1,7.675,10.5,1.8,0.0,0.0,0.0,1.6,1,0,0,-1,-1,-1,1,1,0,0,-1,-1,-1,-1
"5","T1_F_Q1",21.599999999999998,7,13.900000000000002,6.500000000000001,0.0,0.0,0.0,0.0,1.2,3,3,0,0,0,0,1,4.633333333333334,2.166666666666667,0.0,0.0,0.0,0.0,1.2,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1
"5","T1_F_Q2",99.79999999999997,38,65.7,24.700000000000003,5.9,0.0,2.5999999999999996,0.0,0.9,17,12,5,0,3,0,1,3.864705882352941,2.0583333333333336,1.18,0.0,0.8666666666666667,0.0,0.9,1,0,0,-1,0,-1,1,1,0,0,-1,2,-1,-1
"5","T1_K_Q1",17.7,7,10.3,5.7,0.0,0.0,0.0,0.0,1.7,3,3,0,0,0,0,1,3.4333333333333336,1.9,0.0,0.0,0.0,0.0,1.7,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1
"5","T1_M_Q2",43.2,15,29.799999999999997,12.4,0.0,0.0,0.0,0.0,1.0,7,7,0,0,0,0,1,4.257142857142857,1.7714285714285714,0.0,0.0,0.0,0.0,1.0,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1
"5","T1_S_Q3",32.9,17,21.900000000000002,7.8,1.8,0.0,0.3,0.9,0.2,7,5,2,0,1,1,1,3.1285714285714286,1.56,0.9,0.0,0.3,0.9,0.2,1,0,0,-1,2,0,5,1,0,0,-1,2,6,-1
"5","T1_S_Q4",28.8,16,16.8,7.0,2.1,0.5,0.7,0.0,1.7,6,3,3,1,2,0,1,2.8000000000000003,2.3333333333333335,0.7000000000000001,0.5,0.35,0.0,1.7,2,0,0,0,1,-1,4,1,0,0,2,0,-1,-1
"5","T2_B_Q4",68.49999999999999,25,40.6,24.7,1.7,0.0,0.0,0.4,1.1,11,11,1,0,0,1,1,3.690909090909091,2.2454545454545456,1.7,0.0,0.0,0.4,1.1,1,0,0,-1,-1,1,5,1,0,0,-1,-1,6,-1
"5","T2_B_Q18",35.3,13,21.900000000000002,13.100000000000001,0.0,0.0,0.0,0.0,0.3,6,6,0,0,0,0,1,3.65,2.1833333333333336,0.0,0.0,0.0,0.0,0.3,1,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1
"5","T2_B_Q23",17.7,9,11.3,5.8,0.0,0.0,0.0,0.4,0.2,4,3,0,0,0,1,1,2.825,1.9333333333333333,0.0,0.0,0.0,0.4,0.2,1,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,-1
"5","T2_K_Q11",28.699999999999996,12,19.099999999999998,8.799999999999999,0.0,0.0,0.4,0.0,0.4,6,4,0,0,1,0,1,3.183333333333333,2.1999999999999997,0.0,0.0,0.4,0.0,0.4,1,0,-1,-1,0,-1,0,1,0,-1,-1,0,-1,-1
